date,hour,daytype,mesh_code,count
2020-09-01,0,平日,53394611113,19
2020-09-01,0,平日,53394518434,5
2020-09-01,0,平日,53394610141,6
2020-09-01,0,平日,53394509433,8
2020-09-01,0,平日,53394621133,43
2020-09-01,0,平日,53394528443,40
2020-09-01,0,平日,53394529244,2
2020-09-01,0,平日,53394630434,11
2020-09-01,0,平日,53394610222,18
2020-09-01,0,平日,53394620223,8
2020-09-01,0,平日,53394630111,1
2020-09-01,0,平日,53394610344,1
2020-09-01,0,平日,53394630324,17
2020-09-01,0,平日,53394611111,93
2020-09-01,0,平日,53394630122,11
2020-09-01,0,平日,53394509412,7
2020-09-01,0,平日,53394539112,15
2020-09-01,0,平日,53394620241,2
2020-09-01,0,平日,53394509344,3
2020-09-01,0,平日,53394620324,1
2020-09-01,0,平日,53394621144,16
2020-09-01,0,平日,53394600414,14
2020-09-01,0,平日,53394549224,20
2020-09-01,0,平日,53394630413,27
2020-09-01,0,平日,53394630141,13
2020-09-01,0,平日,53394539423,2
2020-09-01,0,平日,53394630112,1
2020-09-01,0,平日,53394630421,27
2020-09-01,0,平日,53394539121,32
2020-09-01,0,平日,53394631143,42
2020-09-01,0,平日,53394642112,24
2020-09-01,0,平日,53394631222,27
2020-09-01,0,平日,53394519211,1
2020-09-01,0,平日,53394529211,13
2020-09-01,0,平日,53394519344,17
2020-09-01,0,平日,53394519224,7
2020-09-01,0,平日,53394539214,8
2020-09-01,0,平日,53394631341,35
2020-09-01,0,平日,53394631311,5
2020-09-01,0,平日,53394621413,25
2020-09-01,0,平日,53394611322,32
2020-09-01,0,平日,53394509423,15
2020-09-01,0,平日,53394610123,9
2020-09-01,0,平日,53394600231,16
2020-09-01,0,平日,53394641212,33
2020-09-01,0,平日,53394519143,23
2020-09-01,0,平日,53394509411,11
2020-09-01,0,平日,53394641241,22
2020-09-01,0,平日,53394610442,8
2020-09-01,0,平日,53394630444,13
2020-09-01,0,平日,53394610434,1
2020-09-01,0,平日,53394631342,25
2020-09-01,0,平日,53394529322,22
2020-09-01,0,平日,53394631321,23
2020-09-01,0,平日,53394641211,15
2020-09-01,0,平日,53394640214,21
2020-09-01,0,平日,53394600314,35
2020-09-01,0,平日,53394621443,22
2020-09-01,0,平日,53394630311,34
2020-09-01,0,平日,53394630144,18
2020-09-01,0,平日,53394620131,2
2020-09-01,0,平日,53394549213,42
2020-09-01,0,平日,53394641243,23
2020-09-01,0,平日,53394621334,26
2020-09-01,0,平日,53394631142,22
2020-09-01,0,平日,53394518433,2
2020-09-01,0,平日,53394621141,19
2020-09-01,0,平日,53394620113,2
2020-09-01,0,平日,53394630234,47
2020-09-01,0,平日,53394539322,18
2020-09-01,0,平日,53394640113,22
2020-09-01,0,平日,53394519444,2
2020-09-01,0,平日,53394621333,17
2020-09-01,0,平日,53394632311,18
2020-09-01,0,平日,53394549242,24
2020-09-01,0,平日,53394630332,27
2020-09-01,0,平日,53394539243,7
2020-09-01,0,平日,53394610133,1
2020-09-01,0,平日,53394519442,1
2020-09-01,0,平日,53394528442,22
2020-09-01,0,平日,53394611343,51
2020-09-01,0,平日,53394630213,4
2020-09-01,0,平日,53394632343,12
2020-09-01,0,平日,53394620444,12
2020-09-01,0,平日,53394621231,28
2020-09-01,0,平日,53394631433,22
2020-09-01,0,平日,53394630133,62
2020-09-01,0,平日,53394630231,8
2020-09-01,0,平日,53394632142,20
2020-09-01,0,平日,53394539113,18
2020-09-01,0,平日,53394630124,7
2020-09-01,0,平日,53394630423,9
2020-09-01,0,平日,53394630441,4
2020-09-01,0,平日,53394529233,6
2020-09-01,0,平日,53394621112,11
2020-09-01,0,平日,53394641234,18
2020-09-01,0,平日,53394519222,23
2020-09-01,0,平日,53394519123,6
2020-09-01,0,平日,53394621322,9
2020-09-01,0,平日,53394620414,1
2020-09-01,0,平日,53394621233,26
2020-09-01,0,平日,53394631232,36
2020-09-01,0,平日,53394539211,20
2020-09-01,0,平日,53394630442,12
2020-09-01,0,平日,53394621312,20
2020-09-01,0,平日,53394519142,7
2020-09-01,0,平日,53394528231,12
2020-09-01,0,平日,53394539233,2
2020-09-01,0,平日,53394610333,1
2020-09-01,0,平日,53394621431,35
2020-09-01,0,平日,53394509341,33
2020-09-01,0,平日,53394519322,28
2020-09-01,0,平日,53394509441,26
2020-09-01,0,平日,53394539122,22
2020-09-01,0,平日,53394529331,43
2020-09-01,0,平日,53394630333,18
2020-09-01,0,平日,53394632143,34
2020-09-01,0,平日,53394519221,7
2020-09-01,0,平日,53394610121,10
2020-09-01,0,平日,53394631113,18
2020-09-01,0,平日,53394640114,24
2020-09-01,0,平日,53394610132,22
2020-09-01,0,平日,53394539433,24
2020-09-01,0,平日,53394630433,9
2020-09-01,0,平日,53394529344,7
2020-09-01,0,平日,53394518423,7
2020-09-01,0,平日,53394600331,24
2020-09-01,0,平日,53394630243,20
2020-09-01,0,平日,53394539444,38
2020-09-01,0,平日,53394620441,12
2020-09-01,0,平日,53394641222,26
2020-09-01,0,平日,53394611431,40
2020-09-01,0,平日,53394630224,23
2020-09-01,0,平日,53394538222,35
2020-09-01,0,平日,53394600324,2
2020-09-01,0,平日,53394610232,2
2020-09-01,0,平日,53394630223,19
2020-09-01,0,平日,53394549212,39
2020-09-01,0,平日,53394630322,38
2020-09-01,0,平日,53394549211,36
2020-09-01,0,平日,53394641221,34
2020-09-01,0,平日,53394539232,14
2020-09-01,0,平日,53394600234,30
2020-09-01,0,平日,53394630233,26
2020-09-01,0,平日,53394620343,14
2020-09-01,0,平日,53394631443,88
2020-09-01,0,平日,53394600321,37
2020-09-01,0,平日,53394600144,27
2020-09-01,0,平日,53394632333,32
2020-09-01,0,平日,53394528412,9
2020-09-01,0,平日,53394631111,22
2020-09-01,0,平日,53394528223,10
2020-09-01,0,平日,53394519311,11
2020-09-01,0,平日,53394519122,4
2020-09-01,0,平日,53394631224,16
2020-09-01,0,平日,53394621342,13
2020-09-01,0,平日,53394620313,11
2020-09-01,0,平日,53394518444,8
2020-09-01,0,平日,53394621114,41
2020-09-01,0,平日,53394621122,45
2020-09-01,0,平日,53394620432,21
2020-09-01,0,平日,53394631241,28
2020-09-01,0,平日,53394519342,8
2020-09-01,0,平日,53394610324,1
2020-09-01,0,平日,53394620342,3
2020-09-01,0,平日,53394631334,72
2020-09-01,0,平日,53394528441,17
2020-09-01,0,平日,53394632134,36
2020-09-01,0,平日,53394640211,22
2020-09-01,0,平日,53394600341,18
2020-09-01,0,平日,53394529314,10
2020-09-01,0,平日,53394539431,16
2020-09-01,0,平日,53394529443,3
2020-09-01,0,平日,53394528233,3
2020-09-01,0,平日,53394610114,16
2020-09-01,0,平日,53394610314,2
2020-09-01,0,平日,53394640213,22
2020-09-01,0,平日,53394518442,15
2020-09-01,0,平日,53394611323,91
2020-09-01,0,平日,53394621343,24
2020-09-01,0,平日,53394610444,8
2020-09-01,0,平日,53394518412,6
2020-09-01,0,平日,53394632112,21
2020-09-01,0,平日,53394519121,5
2020-09-01,0,平日,53394519312,6
2020-09-01,0,平日,53394630424,6
2020-09-01,0,平日,53394621332,29
2020-09-01,0,平日,53394621123,39
2020-09-01,0,平日,53394518443,10
2020-09-01,0,平日,53394529444,1
2020-09-01,0,平日,53394529411,5
2020-09-01,0,平日,53394601331,29
2020-09-01,0,平日,53394630422,17
2020-09-01,0,平日,53394600312,22
2020-09-01,0,平日,53394621113,26
2020-09-01,0,平日,53394509431,19
2020-09-01,0,平日,53394611313,9
2020-09-01,0,平日,53394519244,3
2020-09-01,0,平日,53394539224,4
2020-09-01,0,平日,53394611312,16
2020-09-01,0,平日,53394621331,12
2020-09-01,0,平日,53394528411,6
2020-09-01,0,平日,53394528243,14
2020-09-01,0,平日,53394549223,33
2020-09-01,0,平日,53394519321,11
2020-09-01,0,平日,53394621134,63
2020-09-01,0,平日,53394519334,28
2020-09-01,0,平日,53394620134,2
2020-09-01,0,平日,53394630134,37
2020-09-01,0,平日,53394610224,16
2020-09-01,0,平日,53394630241,9
2020-09-01,0,平日,53394610211,2
2020-09-01,0,平日,53394610414,3
2020-09-01,0,平日,53394631333,28
2020-09-01,0,平日,53394611341,123
2020-09-01,0,平日,53394600232,62
2020-09-01,0,平日,53394621124,27
2020-09-01,0,平日,53394518441,9
2020-09-01,0,平日,53394519341,22
2020-09-01,0,平日,53394600342,3
2020-09-01,0,平日,53394620232,2
2020-09-01,0,平日,53394641223,40
2020-09-01,0,平日,53394621311,22
2020-09-01,0,平日,53394539441,13
2020-09-01,0,平日,53394610142,2
2020-09-01,0,平日,53394519423,2
2020-09-01,0,平日,53394630344,11
2020-09-01,0,平日,53394509413,12
2020-09-01,0,平日,53394611112,22
2020-09-01,0,平日,53394630222,10
2020-09-01,0,平日,53394641421,26
2020-09-01,0,平日,53394600311,4
2020-09-01,0,平日,53394529133,18
2020-09-01,0,平日,53394640124,25
2020-09-01,0,平日,53394620314,3
2020-09-01,0,平日,53394610231,8
2020-09-01,0,平日,53394632312,20
2020-09-01,0,平日,53394621321,13
2020-09-01,0,平日,53394632114,29
2020-09-01,0,平日,53394509432,4
2020-09-01,0,平日,53394539242,1
2020-09-01,0,平日,53394600433,1
2020-09-01,0,平日,53394620222,6
2020-09-01,0,平日,53394631343,49
2020-09-01,0,平日,53394611321,25
2020-09-01,0,平日,53394549221,61
2020-09-01,0,平日,53394630142,6
2020-09-01,0,平日,53394630232,30
2020-09-01,0,平日,53394539342,38
2020-09-01,0,平日,53394630432,28
2020-09-01,0,平日,53394529134,14
2020-09-01,0,平日,53394529434,20
2020-09-01,0,平日,53394610412,10
2020-09-01,0,平日,53394631312,20
2020-09-01,0,平日,53394620123,2
2020-09-01,0,平日,53394528234,7
2020-09-01,0,平日,53394632123,31
2020-09-01,0,平日,53394529111,37
2020-09-01,0,平日,53394529332,18
2020-09-01,0,平日,53394631122,17
2020-09-01,0,平日,53394539414,12
2020-09-01,0,平日,53394630211,22
2020-09-01,0,平日,53394631314,8
2020-09-01,0,平日,53394620443,10
2020-09-01,0,平日,53394640112,11
2020-09-01,0,平日,53394631414,29
2020-09-01,0,平日,53394519113,14
2020-09-01,0,平日,53394621313,20
2020-09-01,0,平日,53394528421,12
2020-09-01,0,平日,53394529321,15
2020-09-01,0,平日,53394528122,19
2020-09-01,0,平日,53394509343,24
2020-09-01,0,平日,53394519413,3
2020-09-01,0,平日,53394518431,8
2020-09-01,0,平日,53394519343,28
2020-09-01,0,平日,53394631444,37
2020-09-01,0,平日,53394600411,16
2020-09-01,0,平日,53394621132,19
2020-09-01,0,平日,53394610144,3
2020-09-01,0,平日,53394621131,23
2020-09-01,0,平日,53394539321,3
2020-09-01,0,平日,53394632324,40
2020-09-01,0,平日,53394519132,7
2020-09-01,0,平日,53394529414,15
2020-09-01,0,平日,53394630214,13
2020-09-01,0,平日,53394630312,29
2020-09-01,0,平日,53394632331,64
2020-09-01,0,平日,53394610221,26
2020-09-01,0,平日,53394519323,13
2020-09-01,0,平日,53394630131,3
2020-09-01,0,平日,53394632111,55
2020-09-01,0,平日,53394631231,44
2020-09-01,0,平日,53394519144,6
2020-09-01,0,平日,53394600444,46
2020-09-01,0,平日,53394529412,9
2020-09-01,0,平日,53394529142,3
2020-09-01,0,平日,53394529114,9
2020-09-01,0,平日,53394528211,8
2020-09-01,0,平日,53394611132,35
2020-09-01,0,平日,53394528144,20
2020-09-01,0,平日,53394519141,11
2020-09-01,0,平日,53394528413,6
2020-09-01,0,平日,53394620344,11
2020-09-01,0,平日,53394631234,52
2020-09-01,0,平日,53394611333,20
2020-09-01,0,平日,53394632334,40
2020-09-01,0,平日,53394630342,21
2020-09-01,0,平日,53394529324,17
2020-09-01,0,平日,53394630123,3
2020-09-01,0,平日,53394631432,29
2020-09-01,0,平日,53394621211,32
2020-09-01,0,平日,53394509334,4
2020-09-01,0,平日,53394610441,2
2020-09-01,0,平日,53394539422,7
2020-09-01,0,平日,53394630443,4
2020-09-01,0,平日,53394600344,2
2020-09-01,0,平日,53394610212,5
2020-09-01,0,平日,53394632133,48
2020-09-01,0,平日,53394529432,4
2020-09-01,0,平日,53394630323,19
2020-09-01,0,平日,53394610432,1
2020-09-01,0,平日,53394630242,31
2020-09-01,0,平日,53394631144,64
2020-09-01,0,平日,53394610122,8
2020-09-01,0,平日,53394632132,41
2020-09-01,0,平日,53394528232,6
2020-09-01,0,平日,53394610431,1
2020-09-01,0,平日,53394621441,13
2020-09-01,0,平日,53394640221,11
2020-09-01,0,平日,53394621142,17
2020-09-01,0,平日,53394640123,45
2020-09-01,0,平日,53394630132,16
2020-09-01,0,平日,53394640111,21
2020-09-01,0,平日,53394610241,4
2020-09-01,0,平日,53394529234,5
2020-09-01,0,平日,53394610411,4
2020-09-01,0,平日,53394600343,13
2020-09-01,0,平日,53394519333,35
2020-09-01,0,平日,53394621314,29
2020-09-01,0,平日,53394620224,10
2020-09-01,0,平日,53394610443,4
2020-09-01,0,平日,53394620421,5
2020-09-01,0,平日,53394519124,4
2020-09-01,0,平日,53394620434,15
2020-09-01,0,平日,53394640122,16
2020-09-01,0,平日,53394631223,25
2020-09-01,0,平日,53394519213,4
2020-09-01,0,平日,53394620244,22
2020-09-01,0,平日,53394631133,20
2020-09-01,0,平日,53394631242,40
2020-09-01,0,平日,53394529334,26
2020-09-01,0,平日,53394519223,2
2020-09-01,0,平日,53394642111,24
2020-09-01,0,平日,53394539421,6
2020-09-01,0,平日,53394519233,6
2020-09-01,0,平日,53394529422,2
2020-09-01,0,平日,53394631123,13
2020-09-01,0,平日,53394600421,45
2020-09-01,0,平日,53394528423,26
